No.,Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier
1,4,2.2uF 16V,"C1,C3,C4,C5",C0603,2.2uF,CL10A225KO8NNNC,SAMSUNG(三星),C23630,LCSC
2,2,10uF 10V,"C2,C6",C0603,10uF,CL10A106KP8NNNC,SAMSUNG(三星),C19702,LCSC
3,1,100nF 50V,C7,C0603,100nF,CC0603KRX7R9BB104,YAGEO(国巨),C14663,LCSC
4,1,4.7uF 16V,C8,C0603,4.7uF,CL10A475KO8NNNC,SAMSUNG(三星),C19666,LCSC
5,11,1uF,"C9,C10,C11,C12,C13,C16,C17,C18,C20,C21,C22",C0805,1uF,CL21B105KBFNNNE,SAMSUNG(三星),C28323,LCSC
6,3,4.7uF,"C14,C15,C19",C0805,4.7uF,CL21B475KAFNNNE,SAMSUNG(三星),C98195,LCSC
7,2,220pF C0G (tune),"C23,C24",C0603,220pF,GRM1885C1H221JA01D,muRata(村田),C77032,LCSC
8,3,MBR0530T1G,"D1,D2,D3",SOD-123_L2.7-W1.6-LS3.7-RD-1,,MBR0530T1G,onsemi(安森美),C82046,LCSC
9,1,USB4500-03-0-A,J1,USB4500 E20 Routed Cutout,,USB4500-03-0-A,GCT,C5354966,LCSC
10,1,FPC-05FB-24PH20,J2,FPC-SMD_24P-P0.50_FPC-05FB-24PH20,,FPC-05FB-24PH20,XUNPU(讯普),C2856831,LCSC
11,1,47uH,L1,IND-SMD_L3.0-W3.0,47uH,NRH3010T470MN,TAIYO YUDEN(太诱),C223116,LCSC
12,1,SI1308EDL-T1-GE3,Q1,SOT-323_L2.0-W1.3-P1.30-LS2.1-BR,,SI1308EDL-T1-GE3,VISHAY(威世),C469327,LCSC
13,2,5.1k 1%,"R1,R2",R0603,5.1kΩ,0603WAF5101T5E,UNI-ROYAL(厚声),C23186,LCSC
14,2,27R 1%,"R3,R4",R0603,27Ω,RMC0603271%N,Tyohm(幸亚电阻),C325726,LCSC
15,8,10k 1%,"R5,R6,R7,R8,R9,R10,R11,R12",R0603,10kΩ,0603WAF1002T5E,UNI-ROYAL(厚声),C25804,LCSC
16,1,100kΩ,R13,R0603,100kΩ,0603WAF1003T5E,UNI-ROYAL(厚声),C25803,LCSC
17,2,10kΩ,"R14,R18",R0603,10kΩ,0603WAF1002T5E,UNI-ROYAL(厚声),C25804,LCSC
18,1,2.2Ω,R15,R0603,2.2Ω,0603WAF220KT5E,UNI-ROYAL(厚声),C22939,LCSC
19,1,0Ω,R16,R0603,0Ω,0603WAF0000T5E,UNI-ROYAL(厚声),C21189,LCSC
20,1,3Ω,R17,R0603,3Ω,0603WAF300KT5E,UNI-ROYAL(厚声),C23157,LCSC
21,3,SKQGABE010,"SW1,SW2,SW3",KEY-SMD_4P-L5.2-W5.2-P3.70-LS6.4,,SKQGABE010,ALPSALPINE(阿尔卑斯阿尔派),C115351,LCSC
22,1,MDBT50Q-P1MV2,U1,COMM-SMD_MDBT50Q-1MV2,,MDBT50Q-P1MV2,RAYTAC,C5119772,LCSC
23,1,BQ25186DLHR,U2,WSON-10_L2.2-W2.0-P0.40-BL-EP_TI_DLH0010A,,BQ25186DLHR,TI(德州仪器),C44639442,LCSC
24,1,TPS7A0233DBVR,U3,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BL,,TPS7A0233DBVR,TI(德州仪器),C5142805,LCSC
25,1,TPS22919DCKT,U4,SC-70-6_L2.0-W1.3-P0.65-LS2.1-BR,,TPS22919DCKT,TI(德州仪器),C2860814,LCSC
26,2,TPD2EUSB30DRTR,"U5,U6",SOT-9X3-3_L1.0-W0.8-P0.35-LS1.0-BR,,TPD2EUSB30DRTR,TI(德州仪器),C97502,LCSC
