Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Pins,Layer,Rotation,SMD,Comment,Value,Type,Supplier,Datasheet
C1,CL10A225KO8NNNC,C0603,58.9mm,18mm,58.9mm,18mm,58.9mm,17.3mm,2,T,90,Yes,2.2uF 16V,2.2uF,,LCSC,https://item.szlcsc.com/datasheet/CL10A225KO8NNNC/24366.html
C2,CL10A106KP8NNNC,C0603,48.2mm,17.2mm,48.2mm,17.2mm,47.5mm,17.2mm,2,T,0,Yes,10uF 10V,10uF,,LCSC,https://item.szlcsc.com/datasheet/CL10A106KP8NNNC/20411.html
C3,CL10A225KO8NNNC,C0603,49.2mm,19.5mm,49.2mm,19.5mm,48.5mm,19.5mm,2,T,0,Yes,2.2uF 16V,2.2uF,,LCSC,https://item.szlcsc.com/datasheet/CL10A225KO8NNNC/24366.html
C4,CL10A225KO8NNNC,C0603,52.5mm,17.8mm,52.5mm,17.8mm,53.2mm,17.8mm,2,T,180,Yes,2.2uF 16V,2.2uF,,LCSC,https://item.szlcsc.com/datasheet/CL10A225KO8NNNC/24366.html
C5,CL10A225KO8NNNC,C0603,52.5mm,20.8mm,52.5mm,20.8mm,53.2mm,20.8mm,2,T,180,Yes,2.2uF 16V,2.2uF,,LCSC,https://item.szlcsc.com/datasheet/CL10A225KO8NNNC/24366.html
C6,CL10A106KP8NNNC,C0603,62.3mm,18mm,62.3mm,18mm,62.3mm,17.3mm,2,T,90,Yes,10uF 10V,10uF,,LCSC,https://item.szlcsc.com/datasheet/CL10A106KP8NNNC/20411.html
C7,CC0603KRX7R9BB104,C0603,60.9mm,18mm,60.9mm,18mm,60.9mm,17.3mm,2,T,90,Yes,100nF 50V,100nF,,LCSC,https://item.szlcsc.com/datasheet/CC0603KRX7R9BB104/15331.html
C8,CL10A475KO8NNNC,C0603,46.1mm,16.8mm,46.1mm,16.8mm,46.1mm,17.5mm,2,T,270,Yes,4.7uF 16V,4.7uF,,LCSC,https://item.szlcsc.com/datasheet/CL10A475KO8NNNC/20375.html
R1,0603WAF5101T5E,R0603,71.9mm,24.5mm,71.9mm,24.5mm,71.147mm,24.5mm,2,T,0,Yes,5.1k 1%,5.1kΩ,厚膜电阻,LCSC,https://item.szlcsc.com/datasheet/0603WAF5101T5E/23913.html
R2,0603WAF5101T5E,R0603,73.6mm,28.8mm,73.6mm,28.8mm,72.847mm,28.8mm,2,T,0,Yes,5.1k 1%,5.1kΩ,厚膜电阻,LCSC,https://item.szlcsc.com/datasheet/0603WAF5101T5E/23913.html
